longitude,latitude,radius,county,risk_category
-118.13385600000001,34.535644,21,Los Angeles,1
-120.5238,35.5187,22,San Luis Obispo,1
-122.083611,37.08277800000001,22,Santa Cruz,1
-116.63361100000002,33.282222,22,San Diego,1
-119.00931200000001,38.016591,22,Mono,1
-122.53498,38.79255,22,Lake,1
-119.224883,36.399684,22,Tulare,1
-118.262956,33.890237,22,Los Angeles,1
-121.429152,39.011038,22,Yuba,1
-119.71194399999999,36.98777800000001,22,Fresno,1
-118.306794,34.62562,23,Los Angeles,1
-122.124444,37.131389,23,Santa Cruz,1
-123.709722,38.929444000000004,23,Mendocino,1
-120.57194399999999,38.431944,23,Amador,1
-118.14174799999999,34.765963,24,Los Angeles,1
-117.70912,34.15187,24,Los Angeles,1
-122.807184,38.068504,24,Marin,1
-116.76246599999999,33.743539,24,Riverside,1
-121.638056,37.867222,24,Contra Costa,1
-119.42384399999999,35.050872,25,Kern,1
-118.093345,33.879439,25,Los Angeles,1
-118.881099,34.280189,25,Ventura,1
-122.52293999999999,37.998178,25,Marin,1
-120.46972199999999,39.810278000000004,25,Plumas,1
-122.59118000000001,38.78898,25,Lake,1
-117.898903,34.494142,25,Los Angeles,1
-120.65888899999999,38.413056,25,Amador,1
-118.357555,34.159662,25,Los Angeles,1
-122.26799999999999,37.4647,25,San Mateo,1
-122.333426,37.205116,25,San Mateo,1
-118.35843999999999,34.166653000000004,25,Los Angeles,1
-117.08694399999999,33.707778000000005,26,Riverside,1
-118.526491,34.34704,26,Los Angeles,1
-122.41638799999998,38.446383000000004,26,Napa,1
-118.651748,34.238237,26,Los Angeles,1
-115.828515,33.248298,27,Imperial,1
-122.555619,37.962559999999996,27,Marin,1
-119.067431,36.325222,27,Tulare,1
-122.55723,38.87829,28,Lake,1
-119.49351999999999,35.889586,28,Tulare,1
-122.055833,37.051389,28,Santa Cruz,1
-119.340833,35.594167,28,Kern,1
-119.271667,35.500556,29,Kern,1
-118.44636799999999,33.961018,29,Los Angeles,1
-120.07611100000001,38.438889,29,Calaveras,1
-118.437421,33.384064,29,Los Angeles,1
-122.47323,37.503766,29,San Mateo,1
-122.83762,39.10065,29,Lake,1
-122.6329,39.13645,29,Lake,1
-120.540833,38.228333,29,Calaveras,1
-121.795876,39.664949,30,Butte,1
-116.998926,33.303366,30,San Diego,1
-122.99083300000001,38.506389,30,Sonoma,1
-122.452386,37.690456,31,San Mateo,1
-118.508629,34.091814,31,Los Angeles,1
-118.32381000000001,34.497963,31,Los Angeles,1
-119.293754,34.282365999999996,31,Ventura,1
-118.54876200000001,34.089984,32,Los Angeles,1
-119.246944,35.768889,32,Kern,1
-121.97083300000001,38.525,32,Yolo,1
-120.608056,35.389444,32,San Luis Obispo,1
-120.8025,38.393056,32,Amador,1
-118.304543,33.78262,32,Los Angeles,1
-121.609167,38.161944,33,Sacramento,1
-118.38321,34.03281,33,Los Angeles,1
-118.478866,34.477689,33,Los Angeles,1
-116.543573,32.652402,33,San Diego,1
-119.00790900000001,36.064283,34,Tulare,1
-119.90416699999999,36.6025,34,Fresno,1
-122.48313799999998,38.504796999999996,34,Napa,1
-119.401944,37.066111,35,Fresno,1
-122.40708300000001,37.694842,36,San Mateo,1
-120.252778,36.648889000000004,36,Fresno,1
-121.190243,39.19741,36,Nevada,1
-121.084323,35.562844,36,San Luis Obispo,1
-117.26239199999999,32.964406,36,San Diego,1
-122.46446599999999,37.79734000000001,36,San Francisco,1
-117.74646299999999,34.144207,36,Los Angeles,1
-118.03015,34.035291,36,Los Angeles,1
-120.815,38.694722,36,El Dorado,1
-117.92675600000001,34.017494,36,Los Angeles,1
-120.31638899999999,36.501389,37,Fresno,1
-118.990444,34.810421999999996,37,Kern,1
-117.109205,34.207786,37,San Bernardino,1
-120.815,38.694722,37,El Dorado,1
-122.20865800000001,37.387118,38,San Mateo,1
-118.249875,33.904692,38,Los Angeles,1
