name,x,y,county,ordinal_cat,COVID-19 danger
76,-122.03577250000001,36.972288899999995,Santa Cruz,2,Mild Risk
76 (Om's Market),-122.03220759999999,36.9760263,Santa Cruz,2,Mild Risk
Rotten Robbie,-122.04318880000001,36.9636595,Santa Cruz,2,Mild Risk
Valero,-122.04527900000001,36.962206099999996,Santa Cruz,2,Mild Risk
Chevron,-120.8422758,37.056689399999996,Merced,3,Medium Risk
Kwick Serve,-120.4775555,37.0829258,Merced,3,Medium Risk
Pilot,-120.1326253,37.01874779999999,Madera,3,Medium Risk
Chevron,-119.8846331,36.8084557,Fresno,1,Low Risk
76,-119.86344150000001,36.8087031,Fresno,1,Low Risk
Chevron,-119.8621969,36.807933399999996,Fresno,1,Low Risk
Shell Gas Station,-120.07448329999998,36.9761583,Madera,3,Medium Risk
Chevron,-120.83995890000001,37.0571945,Merced,3,Medium Risk
Unknown Name,-122.14455829999999,38.73624760000001,Yolo,2,Mild Risk
Sav On Gasoline,-122.0234614,36.9843708,Santa Cruz,2,Mild Risk
Valero,-122.02314479999998,36.9835434,Santa Cruz,2,Mild Risk
Valero,-122.0043858,36.98125020000001,Santa Cruz,2,Mild Risk
Costco Gasoline,-122.03596029999999,36.984720700000004,Santa Cruz,2,Mild Risk
76 Gas,-122.49845570000001,37.7792862,San Francisco,2,Mild Risk
APCO Gasoline,-122.0417144,36.96469260000001,Santa Cruz,2,Mild Risk
Gas & Shop,-122.04313559999999,36.9630144,Santa Cruz,2,Mild Risk
Valero,-122.71462009999999,38.331753000000006,Sonoma,2,Mild Risk
Unknown Name,-116.97258490000002,33.8029936,Riverside,2,Mild Risk
Exxon,-117.00711170000001,33.7478896,Riverside,2,Mild Risk
Unknown Name,-116.977713,33.7477511,Riverside,2,Mild Risk
Beacon,-121.9761895,37.2942537,Santa Clara,3,Medium Risk
USA Gasoline,-121.9657264,37.294548299999995,Santa Clara,3,Medium Risk
Unknown Name,-122.28970690000001,37.8396119,Alameda,3,Medium Risk
76,-122.0892764,37.6313191,Alameda,3,Medium Risk
Unknown Name,-122.3084439,37.911542499999996,Contra Costa,2,Mild Risk
Unknown Name,-122.31902690000001,37.925673700000004,Contra Costa,2,Mild Risk
Unknown Name,-122.31938729999999,37.92624910000001,Contra Costa,2,Mild Risk
Chevron,-121.80330829999998,37.2374172,Santa Clara,3,Medium Risk
76,-121.8033942,37.2366382,Santa Clara,3,Medium Risk
USA Gasoline,-121.86163049999999,36.604059899999996,Monterey,3,Medium Risk
Unknown Name,-121.7501547,36.760286799999996,Monterey,3,Medium Risk
Chevron,-121.73173590000002,38.5401828,Yolo,2,Mild Risk
Shell,-121.7380166,38.5408685,Yolo,2,Mild Risk
Chevron,-122.458522,37.7809712,San Francisco,2,Mild Risk
Shell,-122.46766299999999,37.7806252,San Francisco,2,Mild Risk
Devco Oil,-122.03178559999999,36.9863649,Santa Cruz,2,Mild Risk
Shell,-121.9895087,36.9851604,Santa Cruz,2,Mild Risk
Z Ma Self Service Gasoline,-121.9912244,36.9792673,Santa Cruz,2,Mild Risk
USA,-121.99001200000001,36.98499260000001,Santa Cruz,2,Mild Risk
Unknown Name,-121.7237447,37.7130588,Alameda,3,Medium Risk
Gas & Shop,-121.72516670000002,37.711389000000004,Alameda,3,Medium Risk
Unknown Name,-121.7237294,37.7174032,Alameda,3,Medium Risk
SP,-122.29444860000001,37.8753686,Alameda,3,Medium Risk
EconoGas,-122.29512450000001,37.8682313,Alameda,3,Medium Risk
Unknown Name,-122.50330770000001,37.5958635,San Mateo,1,Low Risk
Chevron,-122.48641809999998,37.6139846,San Mateo,1,Low Risk
