date,county,fips,place,confirmed_cases,note,x,y,log_cases,category,ordinal_cat,alpha
2020-10-23,Napa,55.0,Deer Park,3,,-122.46704299999999,38.536308,1.0986122886681098,0,0,299.1839457731208
2020-10-23,Imperial,25.0,92259,3,,-115.994099,32.686531,1.0986122886681098,0,0,35.96042304947304
2020-10-25,Kern,29.0,93220: Edison,3,,-118.875922,35.3464,1.0986122886681098,0,0,176.99139983154078
2020-04-20,Ventura,111.0,Lake Sherwood,3,,-118.869875,34.143531,1.0986122886681098,0,0,341.95768771928266
2020-10-25,Los Angeles,37.0,Palos Verdes Peninsula,3,,-118.344627,33.78358,1.0986122886681098,0,0,737.8790075614381
2020-10-25,San Bernardino,71.0,Oak Glen,3,,-116.949444,34.045,1.0986122886681098,0,0,185.436827460762
2020-06-23,Calaveras,9.0,San Andreas,3,,-120.67673899999998,38.191886,1.0986122886681098,0,0,74.62150139886398
2020-10-25,San Bernardino,71.0,Fawnskin,3,,-116.94718600000002,34.267410999999996,1.0986122886681098,0,0,161.8333574627307
2020-10-25,Los Angeles,37.0,Padua Hills,3,,-117.70358799999998,34.144344,1.0986122886681098,0,0,703.2581742515622
2020-10-25,San Bernardino,71.0,Angelus Oaks,3,,-116.9825,34.145833,1.0986122886681098,0,0,69.49034532939253
2020-04-20,Ventura,111.0,Santa Rosa Valley,3,,-118.93438300000001,34.234796,1.0986122886681098,0,0,141.35523173532619
2020-10-25,Los Angeles,37.0,Unincorporated - Del Rey,3,,-118.412269,33.982584,1.0986122886681098,0,0,1955.9665247008504
2020-10-25,Los Angeles,37.0,Whittier Narrows,3,,-118.061967,34.033775,1.0986122886681098,0,0,679.9801300511344
2020-05-06,Kern,29.0,California City,3,,-117.98583300000001,35.125833,1.0986122886681098,0,0,73.49395442692864
2020-10-25,Los Angeles,37.0,Llano,3,,-117.744875,34.49129,1.0986122886681098,0,0,87.4921650082497
2020-10-25,Kern,29.0,93224: Fellows,3,,-119.556497,35.178492999999996,1.0986122886681098,0,0,106.05674377980634
2020-06-23,Calaveras,9.0,West Point,4,,-120.5275,38.399167,1.3862943611198906,0,0,130.2167121136523
2020-10-23,Ventura,111.0,91307 – Bell Canyon,4,,-118.6875,34.208056,1.3862943611198906,0,0,195.9100960244521
2020-03-25,Los Angeles,37.0,Florence,4,,-118.26899999999999,33.974540000000005,1.3862943611198906,0,0,5309.643733261684
2020-10-25,Tulare,107.0,Traver: 93646,4,,-119.301801,36.631989000000004,1.3862943611198906,0,0,518.6387939926944
2020-10-23,Napa,55.0,North Calistoga,4,,-122.57459899999999,38.623391999999996,1.3862943611198906,0,0,178.714909439469
2020-10-25,Los Angeles,37.0,Unincorporated - Bradbury,4,,-117.96776399999999,34.145326000000004,1.3862943611198906,0,0,855.7488721287796
2020-10-23,Lake,33.0,95426,4,,-122.71383999999999,38.83313,1.3862943611198906,0,0,67.05087394284443
2020-10-23,Lake,33.0,95435,4,,-122.8746,39.0027,1.3862943611198906,0,0,126.91243177002085
2020-10-25,Los Angeles,37.0,East Covina,4,,-117.835314,34.088091,1.3862943611198906,0,0,453.38309010798184
2020-10-23,Lake,33.0,95424,4,,-122.66557,38.97039,1.3862943611198906,0,0,76.93518804327387
2020-10-25,San Bernardino,71.0,Rimforest,4,,-117.22566599999999,34.22955,1.3862943611198906,0,0,457.35623340672475
2020-10-25,Los Angeles,37.0,Brookside,5,,-118.336327,34.058935999999996,1.6094379124341005,0,0,1199.3859493994864
2020-10-25,Tulare,107.0,"Corcoran, Angiola: 93212",5,,-119.49649699999999,36.044290000000004,1.6094379124341005,0,0,124.16431936516258
2020-08-25,Mono,51.0,South,5,,-118.68111100000002,37.561389,1.6094379124341005,0,0,32.84741904010562
2020-04-21,Ventura,111.0,Ojai,5,,-119.24681299999999,34.447717,1.6094379124341005,0,0,545.8556200299699
2020-06-23,Calaveras,9.0,Copperopolis,5,,-120.641944,37.981111,1.6094379124341005,0,0,5.142649138723171
2020-10-25,Los Angeles,37.0,Lake Hughes,5,,-118.429088,34.661878,1.6094379124341005,0,0,96.52646385090252
2020-04-11,San Diego,73.0,Solana,5,,-117.260278,32.995278000000006,1.6094379124341005,0,0,1845.1733368910961
2020-05-06,Kern,29.0,Frazier Park,5,,-118.944722,34.822778,1.6094379124341005,0,0,233.2393731031867
2020-10-25,Los Angeles,37.0,Avalon,5,,-118.331354,33.333921000000004,1.6094379124341005,0,0,58.32925191455757
2020-06-25,Fresno,19.0,Tranquility,6,,-120.252068,36.64803,1.791759469228055,0,0,3308.8496927075075
2020-10-25,Los Angeles,37.0,South Antelope Valley,6,,-118.084149,34.498971999999995,1.791759469228055,0,0,182.6633403559153
2020-07-06,Tulare,107.0,Mountain,6,,-118.52311599999999,36.303084999999996,1.791759469228055,0,0,40.25341796141326
2020-05-06,Kern,29.0,Mc Farland,6,,-119.22916699999999,35.678056,1.791759469228055,0,0,161.5065418432818
2020-10-23,San Luis Obispo,79.0,San Simeon,6,,-121.189722,35.643889,1.791759469228055,0,0,44.35749499672571
2020-10-23,Imperial,25.0,92266,6,,-114.951687,33.334267,1.791759469228055,0,0,25.35861920865209
2020-10-23,Fresno,19.0,Dunlap,6,,-119.120898,36.737991,1.791759469228055,0,0,88.67795111794243
2020-05-04,Kern,29.0,McFarland,6,,-119.22916699999999,35.678056,1.791759469228055,0,0,161.5065418432818
2020-10-25,Kern,29.0,93531: Keene,6,,-118.562992,35.219588,1.791759469228055,0,0,74.08121645559602
2020-10-25,Kern,29.0,93222: Pine Mountain Club,6,,-119.206571,34.843183,1.791759469228055,0,0,33.29479196326968
2020-10-25,Los Angeles,37.0,West Antelope Valley,6,,-118.580785,34.760448,1.791759469228055,0,0,67.42700106064542
2020-10-23,Amador,5.0,Volcano,6,,-120.562377,38.409966,1.791759469228055,0,0,202.11385305515486
2020-10-25,Los Angeles,37.0,Unincorporated - Angeles National Forest,6,,-118.000747,34.323634999999996,1.791759469228055,0,0,88.49739959266131
