name,longitude,latitude
Underdogs Too,-122.5047802,37.7419005
Thai Dishes,-118.4836931,34.0307057
The Squeeze Inn,-121.40857,38.5269329
Shaka Shack,-118.4667404,34.0127365
Santa Monica Bistro,-118.4775052,34.0309265
17th Street Cafe,-118.4924929,34.0341961
Margo's,-118.4932833,34.0335274
Pradeep's,-118.4950672,34.0324506
Blue Plate,-118.4948527,34.0326285
Ingo's Tasty Diner,-118.4905097,34.0256433
Art's Table,-118.4986661,34.0290582
Louise's Trattoria,-118.4985782,34.0292668
Rosti,-118.4991961,34.0291387
Panda Express and Pioneer Boulangerie,-118.5005852,34.0276281
The State,-117.1817339,34.056324
Gourmet Pizza,-117.1807383,34.056324
Tin Fish,-117.1593664,32.7071365
Vicoletto Ristorante & Wine Bar,-122.408257,37.7997187
Gigi Oysters,-122.4083601,37.799705
Sarita's,-121.6639413,36.8005917
Chinese & American Cuisine,-121.6641044,36.8008048
Straw Hat,-121.6638554,36.7925434
Round Table Pizza,-121.6652514,36.8015299
La Tapatia,-121.6668307,36.8032617
Unknown Name,-122.2815972,37.8817043
Gioia Pizzeria,-122.281432,37.8817836
Hooters,-118.4956594,34.0162286
Whisky Creek,-118.3950379,37.3644731
Natalee Thai,-118.4006804,34.0226655
American Bistro,-122.0881664,37.4325903
Chatt Cafe,-121.3134851,38.7706905
Tia Gladys,-118.0897417,34.0907684
Chelito's Pupuseria,-122.0203976,36.97844
Spire's,-117.6106545,34.0638833
Solare Restuarant Lounge,-117.2139208,32.7373242
Sammy's Woodfired Pizza,-117.216882,32.7361618
The Station,-122.2450524,37.8588105
Oggi's Restaurant,-117.2173955,32.728636
Las Flamas,-121.9652493,37.352782
Adam's Apple,-121.9760544,37.294421
Phở Nam - Pho Nam,-121.9942579,37.392041
Thai Basil,-117.2457828,32.7983365
Be My Guest,-122.4696222,37.7825821
PB Sushi,-117.2479684,32.7979686
Hamburger Heaven,-122.4677871,37.7829328
Giorgio's Pizza,-122.4610835,37.7829843
Village Pizzeria,-122.4592197,37.7830635
Cantina,-117.2525731,32.7984677
Jordan,-117.2568077,32.7971028
Tokyo House,-117.2520916,32.7975316
Marrakesh,-117.2764077,32.8397883
Latin Chef The Peruvian Restaurant,-117.2490822,32.798148
Mexico Viejo,-117.237978,33.0752255
Crust,-117.2377853,33.0755595
Buca di Beppo,-117.2669486,33.0722511
Islands,-117.2641505,33.0695611
Nola's,-122.1615566,37.4450744
Aptos St. Barbeque,-121.8994383,36.9767973
Uncle Kwok,-121.9046825,36.9762761
Au Midi,-121.9051265,36.9761229
Aptos Pizza,-121.9053412,36.9769545
Sofia's Taqueria,-121.9068101,36.9766535
Aptos Burger Company,-121.9066738,36.9767973
Taqueria Los Gordos,-121.9107745,36.9818076
Ambrosia,-121.9126144,36.9755777
Fiesta Vallarta,-122.1174047,37.3790029
Aldo Los Altos,-122.1176127,37.3780238
Le Boulanger,-122.1167225,37.3781834
Mario's Peruvian Restaurant,-118.3262786,34.0831841
Bob's Big Boy,-117.0597716,33.9928891
Coza Mama,-118.3351721,34.1560719
New York Pizzeria,-117.0580936,33.9967518
Best Wok Chinese Restaurant,-117.0580632,33.9963936
Jose's Mexican Food,-117.0723536,34.0329611
Denny's,-117.0724196,34.0342663
Danny's Pizza,-117.0826077,34.0334838
Mountain Mike's,-122.1820085,37.4529058
Una Mas,-122.1838124,37.4522677
Domino's,-121.8739407,37.3722457
El Buen Gusto Taqueria,-121.8736145,37.3724913
L&L Hawaiian Barbecue,-121.8733141,37.3728459
Denny's,-121.8613064,37.3855114
Mountain Mike's Pizza,-121.8969388,37.2557752
Sushi Factory,-121.8977113,37.2570595
Wahoo's Fish Tacos,-117.8932274,33.6923459
Nick's Pizza,-117.9179573,33.6581057
The Clubhouse,-117.8877457,33.6897907
Gypsy's Trattoria Italiano,-122.2580948,37.8680564
Sadaf Restaurant,-117.2771098,32.8392991
Teléferic Barcelona,-122.158446,37.4382957
Unknown Name,-118.2192511,34.0662117
CreAsian Japanese Cuisine,-121.6587447,37.128172
Simmering Pho Cafe,-121.6590438,37.1283978
Casa Lopez,-122.0313769,37.3513219
Longhorn Restaurant,-122.031975,37.3513052
Thai pepper cuisine,-122.0317657,37.3529959
Saizo,-122.0260524,37.3611919
Black Bear Diner,-117.8852162,33.7009615
Philippe The Original,-118.2369413,34.0596738
Restaurant Alley,-118.2535709,34.0460499
Cole's,-118.2494589,34.0447642
Bottega Louie,-118.2565671,34.047039
The Mighty,-118.2447419,34.0509972
Lili Ya,-118.2448967,34.0511299
Restaurant Aoi,-118.2399704,34.0499025
Daikokuya,-118.2400831,34.0499714
Great Thai,-118.2666829,34.0517217
Flanigan's,-118.2643484,34.0448847
Trader Vic's,-118.2654812,34.0451265
Rock N Fish,-118.2651154,34.0445895
ESPN Zone,-118.2652323,34.0440313
7th&Fig Food Court,-118.2609699,34.0488832
Food Court,-118.2588191,34.0477282
Garlic City,-121.5676224,37.0057
Ledlow,-118.2471827,34.0479704
Drago Centro,-118.2570963,34.051302
Corner Bakery,-118.2618342,34.0481231
Ciudad,-118.2571993,34.0525962
Wokcano,-118.2589503,34.0486992
Wolfgang Puck,-118.2563746,34.0492588
Cafe Pinot,-118.2558175,34.0511811
Daily Grill,-118.2573452,34.049965
The Counter,-118.258255,34.0485569
Angelo's,-117.9609251,33.8179691
Cortina's,-117.9580584,33.8253564
The Loft,-118.029315,33.8075502
Chili's,-118.0289288,33.8084274
Red Robin,-118.0375805,33.8033852
