,name,x,y,radius,acres_burned,status
1391,Bar Fire,-123.00083300000001,41.749666999999995,4.51085950651685,91,contained
1393,Baseline Fire ,-121.43263600000002,38.751647999999996,6.403574197934815,604,contained
1397,Lynette Fire,-120.827386,38.20177,4.204692619390966,67,contained
1400,Dehesa Fire ,-116.806941,32.787656,5.298317366548036,200,contained
1403,Mare Fire,-122.25611111,38.07944444,3.4011973816621555,30,contained
1407,Frame Fire,-120.634179,36.154184,3.2188758248682006,25,contained
1408,Ranch Fire,-120.1755,35.189783,3.9512437185814275,52,contained
1411,Wilson Fire,-123.45878200000001,39.613783000000005,2.302585092994046,10,contained
1412,Briceburg Fire,-119.96606000000001,37.604638,8.623892810075294,5563,contained
1423,Sandalwood Fire,-117.05916699999999,33.9925,6.918695219020472,1011,contained
1426,Wendy Fire,-118.950833,34.156389000000004,4.51085950651685,91,contained
1429,Caples Fire,-120.145,38.724000000000004,8.14177220465645,3435,contained
1433,Nustar Fire,-122.245186,38.045866,2.70805020110221,15,contained
1436,Grove Fire,-122.604425,38.88913,3.2188758248682006,25,contained
1442,Old Water Fire,-117.274276,34.183624,4.976733742420574,145,contained
1443,Muir Fire,-122.636471,37.896231,4.204692619390966,67,contained
1445,Tick Fire,-118.36805600000001,34.472778000000005,8.437067146936952,4615,contained
1460,Copper Fire,-116.83458300000001,32.564583,3.912023005428146,50,contained
1466,Foothills Fire,-121.325842,38.838992,5.872117789475416,355,contained
1469,Bear Fire ,-123.63784109999999,40.511092,2.70805020110221,15,contained
1475,Mann Fire,-117.51793,33.969570000000004,5.19295685089021,180,contained
1477,South Main Fire,-117.40906000000001,33.65263,2.995732273553991,20,contained
1480,Bar Fire,-122.97693000000001,40.63442,4.007333185232471,55,contained
1486,Acres Fire,-119.982359,37.11715,5.0238805208462765,152,contained
1490,Creek Fire,-86.8616,35.9994,4.0943445622221,60,contained
1491,Scorpion Fire,-119.74577,34.01389,7.240649694255466,1395,contained
1492,Acres Fire,-119.93221000000001,37.11806,5.4680601411351315,237,contained
1493,Amoruso Fire,-121.39086200000001,38.824371,6.476972362889683,650,contained
1494,Nash Fire,-123.48018,39.1296,2.302585092994046,10,contained
1498,Silver Fire,-121.726223,37.329163,2.9444389791664403,19,contained
1507,Bitterwater Fire,-121.0781,36.2644,5.351858133476067,211,contained
1514,Cronan Fire ,-120.988571,38.827754999999996,3.367295829986474,29,contained
1528,Drum Fire,-120.28867,34.63309,6.54534966033442,696,contained
1535,Gyle Fire,-122.205628,40.000132,4.219507705176107,68,contained
1543,East Fire,-120.54161,41.5017,2.3978952727983707,11,contained
1557,Indian Fire,-116.750925,33.565093,4.07753744390572,59,contained
1570,Lake Fire,-120.00485,35.351065000000006,6.376726947898627,588,contained
1572,Cotton Fire,-121.086625,37.091637,4.605170185988092,100,contained
1573,Kings Fire,-119.11653600000001,36.750186,4.204692619390966,67,contained
1576,California Fire,-122.25471,38.029959999999996,5.697093486505405,298,contained
1579,Brandon Fire,-120.941267,38.58488,3.4657359027997265,32,contained
1608,Cottonwood Fire,-121.101634,37.083806,6.669498089857879,788,contained
1612,Border 11 Fire,-116.77048,32.62212,4.605170185988092,100,contained
1644,Ranch 2 Fire,-117.910498,34.160265,8.351610750626559,4237,contained
1649,Hills Fire,-120.427342,36.09876,7.659642954564682,2121,contained
1652,River Fire,-121.62161,36.60239,10.780787944718998,48088,contained
1657,Holser Fire,-118.75896499999999,34.438759000000005,8.006367567650246,3000,contained
1664,Carmel Fire,-121.68181000000001,36.4463,8.840001065843392,6905,contained
