name,longitude,latitude
Chevron,-117.2078427,33.5632828
Chevron,-117.9885981,33.9421503
,-117.9326775,33.9388101
76,-124.1766584,40.7939099
Chevron,-124.1839825,40.7829689
Patriot Gasoline,-124.1533504,40.8050278
,-117.5852583,34.0987791
,-121.9962006,37.3963856
Gas 4 Less,-124.0877294,40.8900821
Patriot Gasoline,-124.0832852,40.9048524
,-121.7858993,38.5603732
,-118.0380973,34.0358721
,-118.0381327,34.0366255
Chevron,-122.0005615,37.5329294
Valero,-121.9986802,37.5369734
Chevron,-118.455284,35.7076899
,-117.4034719,34.2238888
,-117.402612,34.2240862
7-Eleven,-117.3604452,34.1916076
Chevron,-122.0643224,39.0243402
Texaco,-118.454754,35.70836
,-121.9599259,37.3606692
,-121.96207,37.3618545
Arco,-121.9592038,37.3559874
,-117.2025748,34.046303
Flyers,-122.170651,37.7093073
Shell,-124.1011526,40.9343442
,-118.1232681,34.0782779
Mobil,-118.1086787,34.0796039
,-122.0133697,37.5437281
Arco,-118.0999171,34.0794905
Mobil,-118.0734813,34.0805516
,-118.0468226,34.0770355
Chevron,-118.1527138,34.1160705
Arco,-118.1608601,34.1160405
,-118.0000315,34.0514289
,-117.9990788,34.0514917
,-117.9752705,34.0348258
Chevron,-118.218093,33.824025
76,-118.1498499,34.1118677
Arco,-118.17046,34.0190321
,-118.1739212,34.0444264
,-118.1727227,34.0599944
ARCO,-122.2735539,37.5233044
Shell,-121.9321669,37.286698
Shell,-121.8382792,38.0025562
Chevron,-122.2853781,37.9959059
76,-122.2621042,38.0216298
,-117.6412359,34.0958644
,-117.5929986,34.1219656
Sam's Club,-117.5587626,34.0741953
,-117.5507214,34.0765628
Costco Gasoline,-117.5485293,34.0776464
,-117.5458822,34.0767726
,-118.1469155,34.127818
Ralphs Gas Station,-118.131872,34.169269
76,-118.132893,34.1574938
,-118.121091,34.149778
Chevron,-118.14698,34.135474
76 Gas Station,-122.4070736,37.7643035
Shell,-122.4077362,37.7647445
Arco,-118.2843133,34.0354024
Shell,-121.7840801,37.9946324
,-117.5485383,34.1069467
Chevron,-118.1809464,34.1145924
,-117.071567,32.621011
,-117.026958,32.775004
76,-117.0432544,32.742952
St. Clair Valero,-117.039396,32.551763
Go Gasoline,-116.995368,32.839026
Shell,-117.075989,32.985317
Mobil,-117.110955,32.583582
,-117.202291,33.01925
Arco,-117.3379136,33.1519427
Arco,-117.365031,33.204416
76,-116.765454,32.835777
,-117.1524215,32.9571173
Arco,-117.3537542,33.1952912
,-117.072048,32.62022
,-117.091245,32.603967
Arco,-116.950586,32.80805
,-117.258633,32.9957215
Shell,-117.12119,32.917637
Chevron,-116.9180982,32.8124009
Chevron,-117.250407,32.979255
,-117.11287,32.937727
Chevron,-117.23364,32.951921
USA Gasoline,-116.9833278,32.8383276
Emerald Oil,-117.033568,32.781268
Top Fuel,-117.066189,32.60718
Chevron,-117.0425133,32.7422368
,-117.099057,32.640209
,-117.041508,32.658108
USA Gasoline,-117.1011793,32.7534255
,-117.100501,32.754676
Shell,-117.046248,32.628799
Arco,-117.1933743,33.1328524
,-117.149813,32.713993
Costco Gasoline,-117.127294,32.782955
Arco,-116.959978,32.807335
Revco,-116.9330245,32.7924539
Arco,-117.1975569,33.150965
Shell,-117.077427,32.980427
Arco,-117.0956258,33.1168797
,-117.098098,32.790141
Mobil,-117.3881599,33.2086198
Shell,-117.126258,32.763587
USA Gasoline,-117.123483,32.748218
XCEL,-116.383379,33.256133
,-117.099452,32.75482
Arco,-117.2377781,32.9349214
Valero,-117.2850266,33.0479604
Shell,-116.765482,32.835189
4S Ranch Gas Station and Car Wash,-117.111438,33.014927
,-117.5441554,33.8482269
76,-117.1299037,32.711918
Chevron,-117.024499,32.614694
,-117.108249,32.936757
Encinitas Chevron,-117.2839392,33.0485375
76,-117.0627495,32.9521417
Sky Fuel,-116.918285,32.811851
,-116.9525742,32.5692121
Kwik Serv,-121.5511661,39.1005241
Arco,-121.2739512,38.7443698
Mobil,-118.152366,34.095561
,-117.1984694,34.0697622
Speed Stop,-121.9037619,37.5618131
Shell,-122.2329639,38.0774963
,-122.2338623,38.0841895
,-116.2696749,33.7068235
Arco,-121.2910003,38.7297243
Chevron,-121.2899909,38.7297885
76,-121.2747612,38.7442442
,-121.6181506,39.140904
Shell Gas,-117.1777703,33.5559616
76,-122.1464193,39.1564464
,-122.1458185,39.1555438
,-122.1612465,39.1602026
,-118.1534394,34.0316582
,-118.1541477,34.031921
,-118.2161906,34.0429281
Valero,-118.2121714,34.0403747
,-118.2919862,34.0692525
,-122.263522,37.5180292
,-118.2987425,34.0692174
Chevron,-118.2698071,34.0667917
Shell,-118.2675191,34.0704341
,-118.262762,34.0780532
,-118.2604912,34.0819143
7-Eleven,-118.1603155,34.0002072
Mobil,-118.2390921,34.0202517
Shell,-118.229574,34.0259251
,-118.220036,34.0729235
USA Gas,-118.2171757,34.0733788
,-118.212097,34.0740022
,-118.208118,34.0735207
,-118.207495,34.0735162
,-118.1879442,34.0859145
Arco; AM/PM,-121.2940664,38.7607875
,-121.3045055,38.7742053
Texas Gasoline,-121.4016757,36.8565064
Alliiance Mini Mart,-121.3220692,36.7905462
76,-122.4529257,37.7229871
Shell,-118.199801,34.106293
,-118.130579,34.100907
Chevron,-118.396476,33.916032
,-118.5558154,34.0388953
76,-118.5547532,34.0389131
Shell,-121.2588941,38.7588611
Chevron,-121.2504925,38.7516254
76 Roseville Station ,-121.255216,38.7615798
76,-121.2663673,38.7726779
,-121.2648449,38.7730292
,-121.9928352,37.9653295
,-118.470846,34.0254516
,-118.4703015,34.0250746
,-118.4696167,34.0253108
,-121.271954,38.8045025
7-Eleven,-121.2829778,38.8109777
Chevron,-121.2813363,38.7888409
,-118.1517731,33.9236609
,-118.152402,33.9239715
,-118.1521619,33.9245078
,-118.143823,33.9351964
,-118.1373564,33.9428147
,-118.1279737,33.9797975
,-118.1164445,33.9672019
,-118.1236087,33.9755145
,-118.1605421,33.9108748
,-118.1682938,33.8894853
,-118.2067984,33.8889994
Arco - Gas Station,-118.1933586,33.888391
Alameda Fuel,-118.2196673,33.888908
,-118.2504997,33.8886133
Valero,-122.4648289,37.7405002
Alpine Mobil,-118.289607,33.8416923
,-118.2914879,33.8732866
,-118.2906301,33.8318934
,-118.2899055,33.8312533
,-118.290712,33.8099169
,-121.3131507,38.7958924
Chevron,-121.3146751,38.7958529
Fastbreak Express,-122.2921859,37.5543742
Fuel Depot,-119.7888565,34.4441534
Conserv Fuel,-119.7508228,34.4382693
,-119.9000931,34.4330884
,-119.758481,34.4401579
,-119.7397863,34.4402129
Specialty Solid Waste CNG Station,-121.9574586,37.3815307
,-121.9326897,37.3725036
,-117.8293158,34.1136567
,-117.8294153,34.1289011
,-117.8294023,34.1282691
,-121.2885672,38.7850861
,-117.7946254,34.1228647
United Oil,-117.206523,32.8280005
