date,county,fips,place,confirmed_cases,note,x,y,log_cases,category,ordinal_cat
2020-10-23,San Mateo,81.0,North Fair Oaks,1,9 or fewer,-122.1966,37.4744,0.0,0,0
2020-10-23,Nevada,57.0,95728,1,9 or fewer,-120.41039,39.311156,0.0,0,0
2020-10-25,Kern,29.0,93287: Woody,2,,-118.836405,35.703491,0.6931471805599453,0,0
2020-04-07,Riverside,65.0,Warm Springs,2,,-117.328651,33.679744,0.6931471805599453,0,0
2020-10-25,Los Angeles,37.0,East Lancaster,2,,-117.995982,34.667605,0.6931471805599453,0,0
2020-10-23,Imperial,25.0,92222,2,,-114.560561,32.789371,0.6931471805599453,0,0
2020-07-20,San Bernardino,71.0,Fort Irwin,2,,-116.684635,35.26284000000001,0.6931471805599453,0,0
2020-10-22,Inyo,27.0,East County,2,,-117.146389,36.606111,0.6931471805599453,0,0
2020-04-07,Riverside,65.0,Mesa Verde,2,,-114.731667,33.595833,0.6931471805599453,0,0
2020-10-25,San Bernardino,71.0,Pioneertown,2,,-116.494722,34.157222,0.6931471805599453,0,0
2020-04-21,Ventura,111.0,Oak View,2,,-119.313192,34.397521999999995,0.6931471805599453,0,0
2020-06-23,Calaveras,9.0,Upper Highway 4 Corridor,2,,-120.159167,38.404444,0.6931471805599453,0,0
2020-03-25,Los Angeles,37.0,Pico,2,,-118.3798,34.0557,0.6931471805599453,0,0
2020-10-25,Kern,29.0,93226: Glennville,2,,-118.729746,35.723529,0.6931471805599453,0,0
2020-10-25,San Bernardino,71.0,Devore,2,,-117.401389,34.216389,0.6931471805599453,0,0
2020-05-06,Kern,29.0,Lebec,2,,-118.96968,34.840088,0.6931471805599453,0,0
2020-10-25,Los Angeles,37.0,Angeles National Forest,2,,-118.279007,34.275218,0.6931471805599453,0,0
2020-05-06,Kern,29.0,Pine Mountain Club,2,,-119.156667,34.846944,0.6931471805599453,0,0
2020-10-25,Kern,29.0,93518: Caliente,2,,-118.628869,35.29122299999999,0.6931471805599453,0,0
2020-10-25,San Bernardino,71.0,Big River,2,,-114.369722,34.133889,0.6931471805599453,0,0
2020-10-25,Kern,29.0,93276: Tupman,2,,-119.364401,35.29931,0.6931471805599453,0,0
2020-05-06,Kern,29.0,Ridgecrest,3,,-117.670833,35.6225,1.0986122886681098,0,0
2020-10-25,San Diego,73.0,Ranchita,3,,-116.625678,33.183513,1.0986122886681098,0,0
2020-10-23,Napa,55.0,West Napa Area,3,,-122.353019,38.28391,1.0986122886681098,0,0
2020-10-25,San Diego,73.0,Jacumba,3,,-116.19145,32.630987,1.0986122886681098,0,0
2020-03-16,Los Angeles,37.0,Santa Clarita and Stevenson Ranch,3,,-118.52,34.42,1.0986122886681098,0,0
2020-10-23,Napa,55.0,Lake Berryessa,3,,-122.237357,38.622114,1.0986122886681098,0,0
